     docIdx  wordIdx  count  classIdx  predictIdx              word
395       4       10      1         1          16         addresses
396       4       12     20         1          16     organizations
397       4       16      1         1          16          religion
398       4       17     10         1          16        foundation
399       4       23     25         1          16          assorted
400       4       25      1         1          16     paraphernalia
401       4       27      3         1          16         available
402       4       29     40         1          16                in
403       4       30     16         1          16                us
404       4       33     19         1          16              ffrf
405       4       42     12         1          16            symbol
406       4       44      3         1          16              ones
407       4       46      1         1          16             stick
408       4       48      2         1          16             their
409       4       51      6         1          16              with
410       4       52      7         1          16              feet
411       4       54      2         1          16           written
412       4       60     22         1          16          postpaid
413       4       67      5         1          16               san
414       4       72      3         1          16               get
415       4       73      1         1          16              lynn
416       4       81      4         1          16               net
417       4       83      6         1          16                go
418       4       84      4         1          16          directly
419       4       85      1         1          16             price
420       4       95      1         1          16             lists
421       4       99      2         1          16               one
422       4      100      3         1          16              such
423       4      101      1         1          16              book
424       4      104      3         1          16              ball
425       4      122      4         1          16           cameron
426       4      139      1         1          16         alternate
427       4      142      4         1          16               may
428       4      143      1         1          16                be
429       4      144     13         1          16             newer
430       4      152      1         1          16      organization
431       4      156      3         1          16        uncovering
432       4      160      2         1          16         quarterly
433       4      181      1         1          16             south
434       4      233     12         1          16            exists
435       4      234      1         1          16               all
436       4      235      4         1          16        characters
437       4      239      3         1          16        similarity
438       4      245      1         1          16            walter
439       4      251      6         1          16              post
440       4      277      1         1          16           forbids
441       4      279      1         1          16           produce
442       4      282      1         1          16         substance
443       4      289      2         1          16     philosophical
444       4      291      2         1          16         provoking
445       4      295      1         1          16           bizarre
446       4      297      7         1          16             times
447       4      299      1         1          16      approachable
448       4      301      4         1          16            mainly
449       4      306      1         1          16              than
450       4      307      1         1          16        technology
451       4      309      2         1          16             often
452       4      310      1         1          16          believed
453       4      312      1         1          16               met
454       4      314      4         1          16              sort
455       4      316      2         1          16          remained
456       4      340      1         1          16            begins
457       4      343      9         1          16          earthers
458       4      364      3         1          16             after
459       4      388      6         1          16               she
460       4      393      6         1          16     unfortunately
461       4      394      1         1          16        terminally
462       4      400      1         1          16             wired
463       4      410      1         1          16          congress
464       4      416      1         1          16            charge
465       4      420      2         1          16             diary
466       4      425      1         1          16         christian
467       4      426      9         1          16         theocracy
468       4      438      2         1          16              used
469       4      449      1         1          16            hunted
470       4      451      1         1          16            hanged
471       4      458      1         1          16          chilling
472       4      465      1         1          16               has
473       4      466      3         1          16              been
474       4      469      1         1          16          probably
475       4      470      2         1          16             worth
476       4      473      5         1          16               you
477       4      474      4         1          16                ll
478       4      477      4         1          16              fuss
479       4      479      3         1          16          versions
480       4      482      1         1          16              true
481       4      489      1         1          16            bantam
482       4      491      1         1          16              even
483       4      492      2         1          16          catholic
484       4      515      1         1          16      philadelphia
485       4      529      1         1          16         existence
486       4      531      2         1          16          positive
487       4      536      1         1          16       challenging
488       4      550      1         1          16           against
489       4      551      2         1          16     comprehensive
490       4      555      1         1          16      contemporary
491       4      563      3         1          16             creed
492       4      574      2         1          16           whether
493       4      575      1         1          16          agnostic
494       4      588      1         1          16      particularly
495       4      604      1         1          16        quotations
496       4      612      1         1          16            person
497       4      613      4         1          16        philosophy
498       4      614      1         1          16           obscure
499       4      621      1         1          16           twisted
500       4      623      1         1          16         centuries
501       4      630      2         1          16             noyes
502       4      644      1         1          16         concluded
503       4      646      2         1          16          attempts
504       4      657      1         1          16            values
505       4      658      1         1          16        aesthetics
506       4      663      2         1          16        decisively
507       4      683      1         1          16             moral
508       4      692      1         1          16              push
509       4      695      2         1          16             realm
510       4      722      9         1          16           library
511       4      731      1         1          16          covering
512       4      742      1         1          16          believer
513       4      746      1         1          16            effect
514       4      748      1         1          16             there
515       4      749      6         1          16             small
516       4      766      3         1          16              back
517       4      770      1         1          16                ba
518       4      775      4         1          16              brad
519       4      778      1         1          16           science
520       4      779      2         1          16         wonderful
521       4      793      4         1          16            highly
522       4      813      5         1          16               did
523       4      824      3         1          16               put
524       4      825      2         1          16          together
525       4      827      1         1          16              just
526       4      828      3         1          16            plants
527       4      832      1         1          16    photosynthesis
528       4      834      1         1          16            bigger
529       4      838      1         1          16           created
530       4      845      2         1          16         incapable
531       4      847      1         1          16        beginnings
532       4      849      2         1          16                me
533       4      850      1         1          16             keeps
534       4      863      3         1          16            anyway
535       4      864      1         1          16             bravo
536       4      870      3         1          16               jhu
537       4      877      2         1          16          atheists
538       4      886      2         1          16              didn
539       4      887      1         1          16             since
540       4      902      4         1          16              deal
541       4      905      1         1          16           started
542       4      910      2         1          16          finished
543       4      912      2         1          16         recursive
544       4      914      1         1          16       objectively
545       4      920      1         1          16               now
546       4      921      1         1          16              have
547       4      922      6         1          16            switch
548       4      930      2         1          16         somewhere
549       4      939      1         1          16       declaration
550       4      942      2         1          16        guaranteed
551       4      947      3         1          16           purpose
552       4      965      1         1          16          anything
553       4      968      2         1          16              your
554       4      969      1         1          16             claim
555       4      970      1         1          16             wrong
556       4      977      1         1          16                am
557       4      982      1         1          16     approximation
558       4      985      1         1          16        understand
559       4      987      1         1          16           between
560       4      988      1         1          16         arbitrary
561       4      992      2         1          16               say
562       4      993      1         1          16         according
563       4      995      1         1          16          personal
564       4      996      2         1          16            kuweit
565       4     1003      5         1          16            assume
566       4     1010      2         1          16               kmr
567       4     1017      1         1          16           because
568       4     1018      6         1          16            rarely
569       4     1034      1         1          16           default
570       4     1038      2         1          16             exact
571       4     1040      1         1          16               few
572       4     1044      1         1          16           account
573       4     1065      3         1          16           believe
574       4     1071      2         1          16             suits
575       4     1077      1         1          16            racist
576       4     1101      1         1          16    interpretation
577       4     1102      1         1          16            wouldn
578       4     1103      1         1          16            couldn
579       4     1123      1         1          16             going
580       4     1124      1         1          16            killed
581       4     1128      1         1          16           driving
582       4     1130      1         1          16        sufficient
583       4     1134      1         1          16            during
584       4     1137      1         1          16             cause
585       4     1138      1         1          16          involved
586       4     1145      2         1          16            blanks
587       4     1157      3         1          16           options
588       4     1160      2         1          16           getting
589       4     1196      3         1          16        reasonable
590       4     1206      1         1          16            victim
591       4     1211      1         1          16          minority
592       4     1236      1         1          16             apply
593       4     1245      3         1          16          released
594       4     1260      3         1          16             chair
595       4     1266      1         1          16         concerned
596       4     1268      1         1          16       possibility
597       4     1270      1         1          16            shared
598       4     1282      1         1          16           totally
599       4     1283      1         1          16              lack
600       4     1305      1         1          16            drives
601       4     1325      1         1          16           singled
602       4     1330      1         1          16            debate
603       4     1347      1         1          16          isolated
604       4     1365      1         1          16            trying
605       4     1425      3         1          16            voting
606       4     1452      3         1          16            degree
607       4     1463      1         1          16          theories
608       4     1472      1         1          16       correctness
609       4     1485      1         1          16         murdering
610       4     1487      1         1          16               gee
611       4     1491      1         1          16        preferable
612       4     1507      1         1          16               ask
613       4     1508      1         1          16           depends
614       4     1552      1         1          16       recursively
615       4     1557      1         1          16           correct
616       4     1571      1         1          16              look
617       4     1580      1         1          16            family
618       4     1608      1         1          16          actively
619       4     1635      1         1          16             space
620       4     1646      4         1          16          violence
621       4     1649      1         1          16     parenthetical
622       4     1676      1         1          16           context
623       4     1678      1         1          16      requirements
624       4     1690      1         1          16        arguements
625       4     1735      1         1          16            closet
626       4     1784      1         1          16           spawned
627       4     1810      1         1          16         primarily
628       4     1855      1         1          16              wild
629       4     1861      1         1          16              blue
630       4     1863      1         1          16            headed
631       4     1870      1         1          16       proposition
632       4     1894      1         1          16         enlighten
633       4     1898      1         1          16          governed
634       4     1906      2         1          16           exactly
635       4     1910      1         1          16          arriving
636       4     1924      1         1          16              born
637       4     2030      1         1          16          theistic
638       4     2038      1         1          16         influence
639       4     2045      1         1          16            skyblu
640       4     2095      1         1          16           physics
641       4     2111      1         1          16       significant
642       4     2113      2         1          16           wherein
643       4     2182      1         1          16          lobbying
644       4     2220      1         1          16                ks
645       4     2232      4         1          16         infringes
646       4     2254      1         1          16             safer
647       4     2444      2         1          16           finding
648       4     2465      1         1          16         bimonthly
649       4     2534      1         1          16             trail
650       4     2585      1         1          16          patterns
651       4     2608      1         1          16         revealing
652       4     2633      1         1          16          thingies
653       4     2717      1         1          16           choices
654       4     2791      3         1          16          provably
655       4     2807      1         1          16           profess
656       4     2829      2         1          16           cynical
657       4     2906      1         1          16        separation
658       4     3023      2         1          16           trivial
659       4     3057      1         1          16        inevitable
660       4     3069      1         1          16          comments
661       4     3140      7         1          16        perverting
662       4     3153      1         1          16            harder
663       4     3167      1         1          16    industrialized
664       4     3183      3         1          16           leaders
665       4     3192      1         1          16         propagate
666       4     3289      1         1          16              john
667       4     3290      1         1          16            cooper
668       4     3291      1         1          16            verily
669       4     3292      1         1          16           laughed
670       4     3293      1         1          16         weaklings
671       4     3294      1         1          16           acooper
672       4     3295      1         1          16          macalstr
673       4     3296      1         1          16             claws
674       4     3297      1         1          16              ultb
675       4     3469      4         1          16       invalidates
676       4     3471      3         1          16             among
677       4     3482      1         1          16          scholars
678       4     3501      1         1          16            frozen
679       4     3559      1         1          16          scissors
680       4     3565      1         1          16           scissor
681       4     3708      2         1          16             blink
682       4     3903      1         1          16          virginia
683       4     3950      1         1          16          capitals
684       4     3995      1         1          16              wasn
685       4     4066      1         1          16            ground
686       4     4088      2         1          16         violently
687       4     4094      1         1          16               tel
688       4     4316      1         1          16           serving
689       4     4501      1         1          16              lynx
690       4     4709      1         1          16        unsolvable
691       4     4729      1         1          16           shining
692       4     4743      3         1          16          homework
693       4     4921      1         1          16        miscreants
694       4     5003      1         1          16             trace
695       4     5082      1         1          16        adaptation
696       4     5149      1         1          16              wolf
697       4     5488      1         1          16            relied
698       4     5915      1         1          16         deficient
699       4     6099      1         1          16          consists
700       4     6427      1         1          16         separated
701       4     6521      1         1          16             grand
702       4     6625      1         1          16           rubbish
703       4     6954      1         1          16         democracy
704       4     7077      1         1          16      salesmanship
705       4     7670      4         1          16            prints
706       4     7803      1         1          16              asia
707       4     7808      1         1          16               qlf
708       4     7951      1         1          16             lucky
709       4     8012      1         1          16        evangelize
710       4     8142      1         1          16             spoke
711       4     8413      1         1          16            lulled
712       4     8811      1         1          16        proscribed
713       4     8979      1         1          16         identical
714       4     9007      1         1          16           outlaws
715       4     9413      1         1          16        difficulty
716       4     9414      1         1          16           psinntp
717       4     9445      1         1          16         wholesale
718       4    10050      1         1          16            colors
719       4    10310      1         1          16          hardcopy
720       4    10528      1         1          16        explicable
721       4    10775      4         1          16          siggraph
722       4    11227      1         1          16          playback
723       4    11256      1         1          16            blurry
724       4    11761      1         1          16        researcher
725       4    12034      1         1          16        resoltuion
726       4    13012      1         1          16            wiring
727       4    14705      1         1          16                dm
728       4    15869      1         1          16          backside
729       4    17147      1         1          16             jesse
730       4    18175      1         1          16               mpc
731       4    19354      1         1          16           bumping
732       4    20593      3         1          16              heat
733       4    22058      1         1          16           placing
734       4    22098      2         1          16           kelleyb
735       4    22508      1         1          16              axle
736       4    31724      1         1          16            downey
737       4    31760      1         1          16         discovery
738       4    31927      1         1          16           baloney
739       4    36512      1         1          16          landover
740       4    38811      1         1          16   standardization
741       4    41950      1         1          16           shaving
742       4    45754      1         1          16             nevis
743       4    45956      1         1          16         perverted
744       4    46815      1         1          16         unbeknown
745       4    53416      1         1          16        inferences
746       4    53976      2         1          16           quelled
747       4    53977      1         1          16    quintessential
748       4    53978      1         1          16      philanthropy
749       4    53979      1         1          16  supernaturalists
750       4    53980      3         1          16  shortsightedness
